<TICKER>,<DTYYYYMMDD>,<DTYYYYMMDD2>,code,close
شاخص_كل6,13880318,20090608,IDXS,9235.50
شاخص_كل6,13880319,20090609,IDXS,9278.50
شاخص_كل6,13880320,20090610,IDXS,9343.30
شاخص_كل6,13880323,20090613,IDXS,9365.40
شاخص_كل6,13880324,20090614,IDXS,9310.30
شاخص_كل6,13880325,20090615,IDXS,9299.00
شاخص_كل6,13880326,20090616,IDXS,9271.10
شاخص_كل6,13880327,20090617,IDXS,9247.20
شاخص_كل6,13880330,20090620,IDXS,9247.70
شاخص_كل6,13880331,20090621,IDXS,9258.40
شاخص_كل6,13880401,20090622,IDXS,9251.80
شاخص_كل6,13880402,20090623,IDXS,9340.00
شاخص_كل6,13880403,20090624,IDXS,9338.60
شاخص_كل6,13880406,20090627,IDXS,9342.60
شاخص_كل6,13880407,20090628,IDXS,9353.70
شاخص_كل6,13880408,20090629,IDXS,9360.10
شاخص_كل6,13880409,20090630,IDXS,9387.60
شاخص_كل6,13880410,20090701,IDXS,9471.00
شاخص_كل6,13880413,20090704,IDXS,9470.40
شاخص_كل6,13880414,20090705,IDXS,9452.70
شاخص_كل6,13880416,20090707,IDXS,9457.90
شاخص_كل6,13880420,20090711,IDXS,9438.50
شاخص_كل6,13880421,20090712,IDXS,9415.80
شاخص_كل6,13880422,20090713,IDXS,9352.80
شاخص_كل6,13880423,20090714,IDXS,9374.00
شاخص_كل6,13880424,20090715,IDXS,9394.60
شاخص_كل6,13880427,20090718,IDXS,9442.20
شاخص_كل6,13880428,20090719,IDXS,9474.50
شاخص_كل6,13880430,20090721,IDXS,9511.10
شاخص_كل6,13880431,20090722,IDXS,9522.20
شاخص_كل6,13880503,20090725,IDXS,9522.90
شاخص_كل6,13880504,20090726,IDXS,9530.30
شاخص_كل6,13880505,20090727,IDXS,9703.70
شاخص_كل6,13880506,20090728,IDXS,9727.10
شاخص_كل6,13880507,20090729,IDXS,9765.60
شاخص_كل6,13880510,20090801,IDXS,9811.20
شاخص_كل6,13880511,20090802,IDXS,9831.20
شاخص_كل6,13880512,20090803,IDXS,9835.00
شاخص_كل6,13880513,20090804,IDXS,9861.10
شاخص_كل6,13880514,20090805,IDXS,9904.40
شاخص_كل6,13880517,20090808,IDXS,9999.00
شاخص_كل6,13880518,20090809,IDXS,10044.00
شاخص_كل6,13880519,20090810,IDXS,10114.20
شاخص_كل6,13880520,20090811,IDXS,10139.40
شاخص_كل6,13880521,20090812,IDXS,10194.00
شاخص_كل6,13880524,20090815,IDXS,10250.80
شاخص_كل6,13880525,20090816,IDXS,10333.20
شاخص_كل6,13880526,20090817,IDXS,10405.40
شاخص_كل6,13880527,20090818,IDXS,10442.50
شاخص_كل6,13880528,20090819,IDXS,10472.40
شاخص_كل6,13880531,20090822,IDXS,10555.40
شاخص_كل6,13880601,20090823,IDXS,10612.20
شاخص_كل6,13880602,20090824,IDXS,10686.10
شاخص_كل6,13880603,20090825,IDXS,10983.60
شاخص_كل6,13880604,20090826,IDXS,11576.90
شاخص_كل6,13880607,20090829,IDXS,11734.40
شاخص_كل6,13880608,20090830,IDXS,11693.50
شاخص_كل6,13880609,20090831,IDXS,11688.30
شاخص_كل6,13880610,20090901,IDXS,11741.00
شاخص_كل6,13880611,20090902,IDXS,11747.20
شاخص_كل6,13880614,20090905,IDXS,11678.50
شاخص_كل6,13880615,20090906,IDXS,11634.50
شاخص_كل6,13880616,20090907,IDXS,11589.70
شاخص_كل6,13880617,20090908,IDXS,11639.00
شاخص_كل6,13880618,20090909,IDXS,11696.50
شاخص_كل6,13880621,20090912,IDXS,11696.50
شاخص_كل6,13880622,20090913,IDXS,11638.40
شاخص_كل6,13880623,20090914,IDXS,11598.70
شاخص_كل6,13880624,20090915,IDXS,11523.60
شاخص_كل6,13880625,20090916,IDXS,11461.10
شاخص_كل6,13880628,20090919,IDXS,11437.00
شاخص_كل6,13880630,20090921,IDXS,11451.80
شاخص_كل6,13880631,20090922,IDXS,11479.80
شاخص_كل6,13880701,20090923,IDXS,11583.00
شاخص_كل6,13880704,20090926,IDXS,11620.40
شاخص_كل6,13880705,20090927,IDXS,11588.20
شاخص_كل6,13880706,20090928,IDXS,11559.10
شاخص_كل6,13880707,20090929,IDXS,11555.00
شاخص_كل6,13880708,20090930,IDXS,11535.80
شاخص_كل6,13880711,20091003,IDXS,11657.30
شاخص_كل6,13880712,20091004,IDXS,11717.30
شاخص_كل6,13880713,20091005,IDXS,11738.20
شاخص_كل6,13880714,20091006,IDXS,11792.80
شاخص_كل6,13880715,20091007,IDXS,11891.10
شاخص_كل6,13880718,20091010,IDXS,11957.90
شاخص_كل6,13880719,20091011,IDXS,11925.40
شاخص_كل6,13880720,20091012,IDXS,11912.30
شاخص_كل6,13880721,20091013,IDXS,11918.30
شاخص_كل6,13880725,20091017,IDXS,11917.80
شاخص_كل6,13880726,20091018,IDXS,11914.10
شاخص_كل6,13880727,20091019,IDXS,11976.40
شاخص_كل6,13880728,20091020,IDXS,12077.30
شاخص_كل6,13880729,20091021,IDXS,12176.30
شاخص_كل6,13880802,20091024,IDXS,12242.80
شاخص_كل6,13880803,20091025,IDXS,12325.80
شاخص_كل6,13880804,20091026,IDXS,12342.60
شاخص_كل6,13880805,20091027,IDXS,12345.10
شاخص_كل6,13880806,20091028,IDXS,12408.40
شاخص_كل6,13880809,20091031,IDXS,12482.40
شاخص_كل6,13880810,20091101,IDXS,12545.00
شاخص_كل6,13880811,20091102,IDXS,12529.50
شاخص_كل6,13880812,20091103,IDXS,12483.60
شاخص_كل6,13880813,20091104,IDXS,12506.00
شاخص_كل6,13880816,20091107,IDXS,12576.90
شاخص_كل6,13880817,20091108,IDXS,12565.90
شاخص_كل6,13880818,20091109,IDXS,12581.50
شاخص_كل6,13880819,20091110,IDXS,12426.10
شاخص_كل6,13880820,20091111,IDXS,12381.40
شاخص_كل6,13880823,20091114,IDXS,12403.10
شاخص_كل6,13880824,20091115,IDXS,12361.70
شاخص_كل6,13880825,20091116,IDXS,12325.40
شاخص_كل6,13880826,20091117,IDXS,12241.90
شاخص_كل6,13880827,20091118,IDXS,12176.40
شاخص_كل6,13880830,20091121,IDXS,12086.70
شاخص_كل6,13880901,20091122,IDXS,12003.00
شاخص_كل6,13880902,20091123,IDXS,11996.30
شاخص_كل6,13880903,20091124,IDXS,12072.60
شاخص_كل6,13880904,20091125,IDXS,12113.40
شاخص_كل6,13880908,20091129,IDXS,12027.60
شاخص_كل6,13880909,20091130,IDXS,11964.90
شاخص_كل6,13880910,20091201,IDXS,11928.90
شاخص_كل6,13880911,20091202,IDXS,11914.60
شاخص_كل6,13880914,20091205,IDXS,11905.00
شاخص_كل6,13880916,20091207,IDXS,11944.50
شاخص_كل6,13880917,20091208,IDXS,11909.60
شاخص_كل6,13880918,20091209,IDXS,11836.30
شاخص_كل6,13880921,20091212,IDXS,11753.10
شاخص_كل6,13880922,20091213,IDXS,11677.40
شاخص_كل6,13880923,20091214,IDXS,11629.10
شاخص_كل6,13880924,20091215,IDXS,11362.50
شاخص_كل6,13880925,20091216,IDXS,11265.30
شاخص_كل6,13880928,20091219,IDXS,11209.60
شاخص_كل6,13880929,20091220,IDXS,11255.70
شاخص_كل6,13880930,20091221,IDXS,11274.90
شاخص_كل6,13881001,20091222,IDXS,11234.60
شاخص_كل6,13881002,20091223,IDXS,11221.30
شاخص_كل6,13881007,20091228,IDXS,11196.90
شاخص_كل6,13881008,20091229,IDXS,11178.50
شاخص_كل6,13881009,20091230,IDXS,11207.50
شاخص_كل6,13881012,20100102,IDXS,11295.20
شاخص_كل6,13881013,20100103,IDXS,11351.10
شاخص_كل6,13881014,20100104,IDXS,11305.10
شاخص_كل6,13881015,20100105,IDXS,11307.40
شاخص_كل6,13881016,20100106,IDXS,11375.40
شاخص_كل6,13881019,20100109,IDXS,11449.60
شاخص_كل6,13881020,20100110,IDXS,11592.30
شاخص_كل6,13881021,20100111,IDXS,11656.80
شاخص_كل6,13881022,20100112,IDXS,11646.20
شاخص_كل6,13881023,20100113,IDXS,11599.90
شاخص_كل6,13881026,20100116,IDXS,11614.90
شاخص_كل6,13881027,20100117,IDXS,11620.70
شاخص_كل6,13881028,20100118,IDXS,11584.00
شاخص_كل6,13881029,20100119,IDXS,11569.20
شاخص_كل6,13881030,20100120,IDXS,11569.20
شاخص_كل6,13881103,20100123,IDXS,11617.80
شاخص_كل6,13881104,20100124,IDXS,11684.90
شاخص_كل6,13881105,20100125,IDXS,11705.10
شاخص_كل6,13881106,20100126,IDXS,11752.50
شاخص_كل6,13881107,20100127,IDXS,11802.90
شاخص_كل6,13881110,20100130,IDXS,11750.10
شاخص_كل6,13881111,20100131,IDXS,11724.70
شاخص_كل6,13881112,20100201,IDXS,11709.60
شاخص_كل6,13881113,20100202,IDXS,11721.30
شاخص_كل6,13881114,20100203,IDXS,11751.70
شاخص_كل6,13881117,20100206,IDXS,11715.50
شاخص_كل6,13881118,20100207,IDXS,11686.30
شاخص_كل6,13881119,20100208,IDXS,11666.80
شاخص_كل6,13881120,20100209,IDXS,11660.70
شاخص_كل6,13881121,20100210,IDXS,11694.10
شاخص_كل6,13881125,20100214,IDXS,11760.00
شاخص_كل6,13881127,20100216,IDXS,11789.70
شاخص_كل6,13881128,20100217,IDXS,11774.20
شاخص_كل6,13881201,20100220,IDXS,11819.00
شاخص_كل6,13881202,20100221,IDXS,11929.00
شاخص_كل6,13881203,20100222,IDXS,12008.60
شاخص_كل6,13881204,20100223,IDXS,12010.20
شاخص_كل6,13881205,20100224,IDXS,11993.20
شاخص_كل6,13881208,20100227,IDXS,11963.50
شاخص_كل6,13881209,20100228,IDXS,12009.00
شاخص_كل6,13881210,20100301,IDXS,12048.90
شاخص_كل6,13881211,20100302,IDXS,12111.10
شاخص_كل6,13881212,20100303,IDXS,12133.40
شاخص_كل6,13881215,20100306,IDXS,12221.30
شاخص_كل6,13881216,20100307,IDXS,12248.90
شاخص_كل6,13881217,20100308,IDXS,12307.20
شاخص_كل6,13881218,20100309,IDXS,12429.10
شاخص_كل6,13881219,20100310,IDXS,12446.80
شاخص_كل6,13881222,20100313,IDXS,12440.50
شاخص_كل6,13881223,20100314,IDXS,12549.10
شاخص_كل6,13881224,20100315,IDXS,12533.60
شاخص_كل6,13881225,20100316,IDXS,12499.70
شاخص_كل6,13881226,20100317,IDXS,12536.70
